Provincia;Localidad;Codigo_postal;Direccion;Margen;Toma_de_datos;Precio;Rotulo;Tipo_venta;Rem;Horario;Tipo_servicio;Fecha_extraccion
SANTA CRUZ DE TENERIFE;REALEJOS LOS      ;38419;POLIGONO LA GANANIA 6;D;27 07 2020 1018;0,850;OCEANO LOS REALEJOS;P;dm;LS 06002200 D 07002200;LS 06002200  A  D 07002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;CHAFIRAS LAS      ;38639;CARRETERA CARRETEA GENERAL A LAS GALLETASCHAFIRAS KM SN;I;30 07 2020 1500;0,853;DISA LAS CHAFIRAS;P;OM;LD 24H;LD 00000600  A   06002200  P   22002359  A ;01 08 2020
SANTA CRUZ DE TENERIFE;GUAMASA         ;38330;CALLE LAZARO LOPEZ 6;I;29 07 2020 0545;0,853;PCAN;P;dm;L 06002300;L 06002300  A ;01 08 2020
SANTA CRUZ DE TENERIFE;CHAFIRAS LAS      ;38639;AVENIDA MODESTO HERNANDEZ GONZALEZ 7;D;29 07 2020 1015;0,853;PCAN;P;dm;LD 24H;LD 00000600  A   06002200  P   22002359  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ARONA;38627;AUTOPISTA TF1 km 65 5;I;29 07 2020 1545;0,854;SHELL ARONA;P;OM;LD 06002200;LD 06002200  P ;01 08 2020
SANTA CRUZ DE TENERIFE;CHAFIRAS LAS      ;38639;CARRETERA A LOS ABRIGOS KM 4 5;D;28 07 2020 0000;0,854;CEPSA;P;OM;LS 08001600;LS 08001600  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SAN CRISTOBAL      ;38295;CARRETERA GENERAL DEL NORTE KM 13200;I;27 07 2020 0000;0,859;REPSOL;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;VALLE DE GUERRA     ;38270;CARRETERA GENERAL KM 194;D;27 07 2020 0000;0,859;REPSOL;P;dm;LD 06002300;LD 06002300  A ;01 08 2020
SANTA CRUZ DE TENERIFE;TACORONTE        ;38350;CARRETERA GENERAL DEL NORTE KM 79;D;27 07 2020 1200;0,859;TGAS TACORONTE;P;dm;LD 24H;LD 00000600  A   06002300  P   23002359  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ARONA          ;38640;CARRETERA GRAL TF51 ARONAVILAFLOR KM 4;N;31 07 2020 1113;0,859;TGAS ARONA;P;dm;LS 07002100 D 07001400;LS 07002100  P  D 07001400  P ;01 08 2020
SANTA CRUZ DE TENERIFE;OROTAVA LA       ;38300;CARRETERA LAS CANADAS KM 5;D;28 07 2020 1911;0,859;CEPSA LA CANADA;P;dm;LD 06000000;LD 06002359  P ;01 08 2020
SANTA CRUZ DE TENERIFE;EL SAUZAL;38360;CARRETERA GRAL DEL NORTE KM 20 400;N;29 07 2020 1545;0,859;DISA EL SAUZAL;P;OM;LD 06002200;LV 06002200  P  SD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;GUANCHA LA       ;38440;AVENIDA HIPOLITO SINFORIANO 8 8;N;29 07 2020 1040;0,860;PCAN;P;dm;LV 05002100 S 06002100 D 07001400;LV 05002100  A  S 06002100  A  D 07001400  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ICOD EL ALTO       ;38414;CARRETERA TF342 LOS REALEJOS LA GUANCHA KM 15;D;27 07 2020 2157;0,860;DISA;P;dm;LS 06002200 D 08002000;LS 06002200  A  D 08002000  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ARICO NUEVO;38589;CARRETERA TF822 KM 50;N;31 07 2020 1714;0,866;DISA;P;dm;LV 06002200 SD 07002000;LV 06002200  A  SD 07002000  A ;01 08 2020
SANTA CRUZ DE TENERIFE;FASNIA          ;38570;CARRETERA LOS ROQUES KM 6 5;D;31 07 2020 1713;0,866;DISA;P;dm;LS 06002200 D 07001400;LS 06002200  A  D 07001400  A ;01 08 2020
SANTA CRUZ DE TENERIFE;OROTAVA LA       ;38300;CARRETERA TF21 AGUAMANSA KM ;I;27 07 2020 1635;0,867;REPSOL BARROSO;P;dm;LV 07002000 SD 08001500;LV 07002000  A  SD 08001500  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA URSULA       ;38390;CARRETERA VIEJA KM 213;I;31 07 2020 0000;0,867;REPSOL;P;dm;LS 06002300 D 07002300;LS 06002300  P  D 07002300  P ;01 08 2020
SANTA CRUZ DE TENERIFE;GUIA           ;38370;CR GENERAL DEL NORTE 272;D;27 07 2020 1322;0,867;SHELL ACENTEJO;P;dm;LS 06002200 D 07002100;;01 08 2020
SANTA CRUZ DE TENERIFE;MATANZA DE ACENTEJO LA ;38370;CARRETERA GENERAL DEL NORTE C820 KM 24 000;N;29 07 2020 1545;0,867;DISA LA MATANZA;P;OM;LD 06002200;LD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA URSULA       ;38390;CARRETERA GENERAL DEL NORTE KM 31;N;31 07 2020 1530;0,867;SHELL SANTA URSULA;P;OM;LD 06002200;LD 06002200  P ;01 08 2020
SANTA CRUZ DE TENERIFE;VICTORIA DE ACENTEJO LA ;38380;CARRETERA CTRA GRAL DEL NORTE KM 27;I;29 07 2020 1545;0,867;SHELL LA VICTORIA;P;OM;LD 06002200;LS 06002200  P  D 06002200  A ;01 08 2020
PALMAS LAS ;AGUIMES;35117;CALLE LAS ADELFAS ESQUINA LOS OLIVOS 8;D;27 07 2020 0921;0,868;CANARY OIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
PALMAS LAS ;GALDAR          ;35460;CARRETERA PLG IND SAN ISIDRO EL VIEJO 36 PARCELA 78 KM 28;D;27 07 2020 0923;0,868;CANARY OIL S L ;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;GRANADILLA DE ABONA   ;38600;SAN ISIDROEL MEDANO km 9 6;D;28 07 2020 0000;0,869;CEPSA;P;OM;LD 06002200;LD 06002200  A ;01 08 2020
