Provincia;Localidad;Codigo_postal;Direccion;Margen;Toma_de_datos;Precio;Rotulo;Tipo_venta;Rem;Horario;Tipo_servicio;Fecha_extraccion
RIOJA LA ;SAN ASENSIO       ;26340;CTRA N232 PK km 436 9;D;27 07 2020 1154;1,119;BEROIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
ALBACETE;ALBACETE         ;02006;AVDA DE LOS TOREROS SN;N;27 07 2020 0000;1,119;INPEALSA;P;dm;LD 07002300;LD 07002300  P ;01 08 2020
ALBACETE;ALBACETE         ;02006;AVDA DE ESPANA PROX A C SAN JUAN  SN;N;27 07 2020 0000;1,119;INPEALSA;P;dm;LD 07002300;LD 07002300  P ;01 08 2020
ALBACETE;ALBACETE;02007;AVENIDA PRIMERA 94;N;27 07 2020 0000;1,119;INPEALSA;P;dm;LV 06002200 S 06001400;LV 06002200  P  S 06001400  P ;01 08 2020
ZAMORA;PERERUELA        ;49280;CARRETERA CL 527 KM 14 350;D;27 07 2020 1124;1,119;REPOSTARALFA;P;dm;LV 07002230 SD 08002230;LV 07002230  A  SD 08002230  A ;01 08 2020
BURGOS;ARANDA DE DUERO     ;09400;CARRETERA LA AGUILERA KM 0;N;27 07 2020 1224;1,119;ALCAMPO;P;dm;LD 06000000;LD 06000000  A ;01 08 2020
LEON;LEON           ;24192;CARRETERA VILECHATR KM SN;N;29 07 2020 1248;1,119;PASO HONROSO;P;dm;LD 24H;LD 24H  A ;01 08 2020
MALAGA;TORRE DEL MAR      ;29740;CL ANGUSTIAS 1;N;28 07 2020 1509;1,119;LISBONA OIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
ALBACETE;ALBACETE         ;02099;CARRETERA NACIONAL 301 KM 256;D;27 07 2020 0000;1,119;INPEALSA;P;dm;LV 06002200 S 06001400 D 09002100;LV 06002200  P  S 06001400  P  D 09002100  P ;01 08 2020
CIUDAD REAL;VILLAHERMOSA       ;13332;AVENIDA CASTILLA LA MANCHA 11;I;23 07 2020 1242;1,119;CHM;P;dm;LD 24H;LD 24H  A ;01 08 2020
CORDOBA;CABRA          ;14940;CARRETERA CR A343 KM 10 7 KM 10;N;22 07 2020 1159;1,119;REDOIL;P;dm;LD 06002200;LD 06002200  A ;01 08 2020
ALMERIA;ROQUETAS DE MAR     ;04740;CARRETERA CRTA ALICUN KM SN;N;31 07 2020 1040;1,119;CARREFOUR;P;dm;LD 24H;LD 24H  A ;01 08 2020
JAEN;GUARROMAN        ;23210;AUTOVIA A5 KM 303;I;28 07 2020 1340;1,119;ASC SAN CRISTOBAL;P;dm;LD 06302200;LD 06302200  A ;01 08 2020
ALMERIA;HUERCALOVERA      ;04600;CARRETERA A350 KM 5 100;I;27 07 2020 2143;1,119;E S H8 ENERGYS;P;dm;LD 06000000;LD 06000000  A ;01 08 2020
CACERES;CACERES         ;10001;CARRETERA CTRA VALENCIA ALCANTARA KM SN;N;31 07 2020 1040;1,119;CARREFOUR;P;dm;LD 24H;LD 24H  A ;01 08 2020
LEON;VILLAMANAN        ;24234;CARRETERA N630 KM 176 600;I;30 07 2020 1108;1,119;REPSOL;P;dm;LV 08001500;LV 08001500  P ;01 08 2020
VALLADOLID;MEDINA DEL CAMPO     ;47400;CARRETERA CTRA A PENARADA SN KM ;N;31 07 2020 1245;1,119;Q8;P;dm;LS 07002200 D 08002200;LS 07002200  A  D 08002200  A ;01 08 2020
ZAMORA;CASTROGONZALO      ;49660;CARRETERA PALENCIA KM 2;N;29 07 2020 1249;1,119;PASO HONROSO;P;dm;LD 07002300;LD 07002300  A ;01 08 2020
SALAMANCA;SALAMANCA        ;37004;CALZADA MEDINA 81;I;01 08 2020 0000;1,119;CEPSA;P;OM;LD 06002200;LD 06002200  A ;01 08 2020
VALLADOLID;NAVA DEL REY       ;47500;CARRETERA CL 602 KM 42 800;D;30 07 2020 1758;1,119;REPOSTAR;P;dm;LV 07002000 S 08001400;LV 07002000  A  S 08001400  A ;01 08 2020
SEVILLA;PILAS          ;41840;PILASVILLAMANRIQUE km 1 5;N;27 07 2020 1102;1,119;LOS VENTOLINES AGLA ;P;dm;LD 06302300;LD 06302300  A ;01 08 2020
JAEN;SANTA ELENA       ;23213;AUTOVIA DE ANDALUCIA km 259 1;D;27 07 2020 1744;1,119;E S MIRA S L ;P;dm;LD 08002200;LD 08002200  A ;01 08 2020
CADIZ;VILLAMARTIN       ;11650;CARRETERA A373 KM 0 500;N;27 07 2020 1105;1,119;GACOSUR VILLAMARTIN;P;dm;LD 06002200;;01 08 2020
JAEN;VILLARES LOS      ;23160;CARRETERA VALDEPENAS KM 57;I;28 07 2020 1304;1,119;AGLA;P;dm;LD 06302230;LD 06302230  A ;01 08 2020
HUELVA;PAYMOGO         ;21560;AVENIDA ANDALUCIA ;N;29 07 2020 1032;1,119;KUWAIT PETROLEUM;P;dm;LV 07002200 S 08001400 y 17002200 D 09001400 y 17002200;LV 07002200  P  S 08001400  P   17002200  P  D 09001400  P   17002200  P ;01 08 2020
JAEN;CAROLINA LA       ;23200;CALLE FARINAS FERRERO SN;N;27 07 2020 1237;1,119;E S PASEO DE LA VIRGEN;P;dm;L 06002200;L 06002200  A ;01 08 2020
BADAJOZ;MERIDA          ;06800;POLIGONO IND EL PRADO PARC SER 1A SN;N;28 07 2020 0000;1,119;E S VIA DE LA PLATA S L ;P;dm;LD 24H;LD 24H  A ;01 08 2020
BADAJOZ;HERRERA DEL DUQUE    ;06670;AVENIDA JUAN CARLOS 1 19;I;20 07 2020 1048;1,119;IBERDOEX;P;dm;L 07002200;L 07002200  A ;01 08 2020
CACERES;MORALEJA         ;10840;CARRETERA EX108 KM 111 7;D;01 08 2020 0000;1,119;CEPSA;P;OM;LD 06002200;LD 06002200  A ;01 08 2020
VALENCIA;CANADA LA        ;46182;CALLE 29 90;D;27 07 2020 1114;1,119;PETROMAX ;P;dm;LD 06002200;LD 06002200  A ;01 08 2020
BADAJOZ;VILLAFRANCA DE LOS BARROS;06220;CARRETERA CARRETERA DE PALOMAS SN KM 1 881;N;31 07 2020 1040;1,119;E S LA CORONADA;P;dm;LD 24H;LD 24H  A ;01 08 2020
LEON;LEON           ;24009;AVENIDA PORTUGAL SN;D;31 07 2020 1400;1,119;SHELL;P;OM;LD 00062200;LD 00062200  A ;01 08 2020
SEVILLA;BENACAZON        ;41805;CARRETERA A473 KM 2 800;D;01 08 2020 1729;1,119;AREA DE SERVICIO LAS NIEVES *;P;dm;LD 24H;LD 24H  A ;01 08 2020
SORIA;AGREDA          ;42100;POL INDUSTRIAL LA DEHESA SN;N;30 07 2020 1836;1,119;EL MAYORIA COMBUSTIBLES;P;dm;LD 24H;LV 00000900  D   09001400  A   14001530  D   15301830  A   18302359  D  SD 24H  D ;01 08 2020
CASTELLON  CASTELLO;JERICA          ;12450;C CASTELLON SN;D;28 07 2020 1006;1,119;COOP DIVINA PASTORA DE JERICA;R;dm;LD 24H;LD 24H  A ;01 08 2020
ZARAGOZA;ZUERA          ;50800;CALLE AUSTRIA 11 17;D;27 07 2020 1712;1,119;COOP SAN LICER ARENTO;P;dm;LD 24H;LD 24H  A ;01 08 2020
CORUNA A ;SANTIAGO DE COMPOSTELA  ;15706;XOAN CARLOS I SN;D;27 07 2020 1028;1,119;GALP;P;dm;LV 07002300 SD 08002230;LV 07002300  A  SD 08002230  A ;01 08 2020
SEGOVIA;FUENTESAUCO FUENTIDUENA ;40355;CARRETERA FUENTESAUCO VEGAFRIA KM 0 6;I;28 07 2020 0900;1,119;A N GLUS;P;dm;LD 24H;LD 24H  A ;01 08 2020
VALLADOLID;VALLADOLID        ;47009;CALLE EURO 17;D;23 07 2020 1119;1,119;DST MERCAOLID;A;dm;LV 06301730 S 07001200;LV 06301730  A  S 07001200  A ;01 08 2020
CANTABRIA;SANTANDER        ;39012;CALLE CAMUS 75;D;31 07 2020 1533;1,119;MEROIL;P;dm;LD 07302230;LD 07302230  A ;01 08 2020
TERUEL;MONREAL DEL CAMPO    ;44300;POLIGONO EL TOLLO PARCELA 2 31;D;27 07 2020 1400;1,119;FYCASA LOGISTICA S L ;P;dm;LD 24H;LD 24H  A ;01 08 2020
VALLADOLID;ATAQUINES        ;47210;CARRETERA FUENTE EL SOL KM SN;D;28 07 2020 0844;1,119;SAN AGUSTIN;P;dm;LV 07001800;LV 07001800  A ;01 08 2020
JAEN;UBEDA          ;23400;N322 km 151 800;I;28 07 2020 0950;1,119;EUROIL LA RECTA;P;dm;LD 24H;LD 24H  A ;01 08 2020
PALENCIA;PALENCIA         ;34004;C LOS TORNEROS 61;D;27 07 2020 1036;1,119;REPOSTAR;P;dm;LV 06302215 SD 07302015;LV 06302215  A  SD 07302015  A ;01 08 2020
PALENCIA;AGUILAR DE CAMPOO    ;34810;POLIGONO AGUILAR DE CAMPOO 121;D;27 07 2020 1134;1,119;BEROIL;P;dm;LV 08001900 S 09001400;LV 08001900  A  S 09001400  A ;01 08 2020
VALLADOLID;MEDINA DE RIOSECO    ;47800;CARRETERA CARRETERA ADANERO KM 232;D;27 07 2020 1600;1,119;AN ENERGETICOS COPROGA;P;dm;LD 24H;LD 24H  A ;01 08 2020
LEON;SAN ANDRES DEL RABANEDO ;24191;AZORIN SN;D;29 07 2020 1247;1,119;PASO HONROSO;P;dm;LV 07002300 SD 08000000;LV 07002300  A  SD 08000000  A ;01 08 2020
BARCELONA;TERRASSA         ;08223;AVENIDA TEXTIL DEL 34;N;01 08 2020 2045;1,119;GALP;P;OM;LD 05002300;LD 05002300  A ;01 08 2020
BARCELONA;ESPARREGUERA       ;08292;CALLE TRES RIERES SN NAVE 9 9;D;27 07 2020 1204;1,119;PETRONIEVES;P;dm;LD 24H;LD 24H  A ;01 08 2020
SEGOVIA;CUELLAR         ;40200;SEGOVIA km 00;I;28 07 2020 0900;1,119;AN GLUS;P;dm;LD 24H;LD 24H  A ;01 08 2020
CORDOBA;ANORA          ;14450;CARRETERA ANORADOS TORRES KM 2 KM 2;D;28 07 2020 0949;1,119;E S LOS PEDROCHES;P;dm;LD 06002200;LD 06002200  A ;01 08 2020
BARCELONA;BADALONA         ;08917;AVENIDA COMUNIDAD EUROPEA SN;N;31 07 2020 1040;1,119;CARREFOUR;P;dm;LD 24H;LD 24H  A ;01 08 2020
CIUDAD REAL;ALCAZAR DE SAN JUAN   ;13600;CARRETERA N420 KM 284 227;D;27 07 2020 1022;1,119;CARREFOUR;P;dm;LD 24H;LD 00000800  D   08002200  A   22002359  D ;01 08 2020
GRANADA;CHURRIANA DE LA VEGA   ;18194;CR NUEVA LA GABIAS PK 2 9 CR NUEVA LAS GABIAS km 2 9 ;D;31 07 2020 1040;1,119;CHURRIANA DE LA VEGA;P;dm;LD 07002300;LD 07002300  A ;01 08 2020
VALENCIA;MANISES         ;46940;CALLE REQUENA 20;N;27 07 2020 1341;1,119;ESTACION AEROPUERTO;P;dm;LS 07002200 D 08002000;LS 07002200  A  D 08002000  A ;01 08 2020
BARCELONA;PINEDA DE MAR      ;08397;CALLE LLEBEIG 1;N;27 07 2020 0825;1,119;ESSER;P;dm;LD 08002000;LD 08002000  A ;01 08 2020
CASTELLON  CASTELLO;ALMAZORA         ;12550;POLIGONO PI CAMI FONDO  PARCELA M2 VIAL D 6 1;D;27 07 2020 1327;1,119;LAYTOR;P;dm;LS 07002100;LS 07002100  A ;01 08 2020
JAEN;ALDEAHERMOSA       ;23267;CARRETERA UBEDAVILLAMANRIQUE KM 1;N;27 07 2020 0937;1,119;ALDEAHERMOSA OIL SL;P;dm;LD 07002200;LD 07002200  A ;01 08 2020
HUELVA;SANTA BARBARA DE CASA  ;21570;CARRETERA A493 KM 84 6;D;29 07 2020 1038;1,119;Q8;P;dm;LV 07002100 S 08001400 y 17002100 D 09001400 y 17002100;LV 07002100  A  S 08001400  A   17002100  A  D 09001400  A   17002100  A ;01 08 2020
HUESCA;LALUEZA         ;22214;CARRETERA A1210 KM 41;D;27 07 2020 0700;1,119;REPSOL;P;dm;LV 07002030 S 08001400;LV 07002030  A  S 08001400  A ;01 08 2020
VALENCIA;ALMUSSAFES        ;46440;POLIGONO PG I JUAN CARLOS I C TRAMUNTANA 7;D;29 07 2020 0850;1,119;COAGAL;P;dm;LD 24H;LD 24H  A ;01 08 2020
LEON;PONFERRADA        ;24400;AVENIDA DE LA CONSTITUCION 2;N;31 07 2020 1040;1,119;CARREFOUR;P;dm;LD 24H;LD 24H  A ;01 08 2020
NAVARRA;IRURTZUN         ;31860;POLIGONO AKABORRO 1;D;22 07 2020 1242;1,119;BI AHIZPAK;P;dm;LV 09001400 y 16001930 S 09001400;LV 09001400  A   16001930  A  S 09001400  A ;01 08 2020
BADAJOZ;BADAJOZ         ;06006;CALLE JERONIMO DE VALENCIA 11;N;28 07 2020 0000;1,119;E S NEVERO S L ;P;dm;LD 24H;LD 24H  A ;01 08 2020
BARCELONA;CA N'AMAT        ;08635;CALLE ISAAC PERAL 9;D;29 07 2020 1133;1,119;PETRONIEVES S L ;P;dm;LD 24H;LD 24H  A ;01 08 2020
NAVARRA;AZAGRA          ;31560;POLIGONO INDUSTRIAL CALLE D 8;N;27 07 2020 1600;1,119;AN ENERGETICOS AZAGRA;P;dm;LD 24H;LD 24H  A ;01 08 2020
TARRAGONA;RODA DE BARA       ;43883;CARRER HISPANO SUIZA 1;N;31 07 2020 1300;1,119;ESCLATOIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
SORIA;ALMAZAN         ;42200;CALLE HAYA ;N;31 07 2020 1944;1,119;GAMAR;P;dm;LD 24H;LD 24H  A ;01 08 2020
BARCELONA;PINEDA DE MAR      ;08397;CALLE CALLE GARBI 190 194;N;01 08 2020 0000;1,119;TAMOIL;P;OM;LD 24H;LD 24H  A ;01 08 2020
LEON;LEON           ;24010;AVENIDA PAIS LEONES 12;D;29 07 2020 1248;1,119;PASO HONROSO;P;dm;LV 07002300 SD 08000000;LV 07002300  A  SD 08000000  A ;01 08 2020
MURCIA;CALASPARRA        ;30420;CARRETERA CALASPARRAVALENTIN KM 1 5;I;27 07 2020 1200;1,119;E S PETROGAZ;P;dm;LS 08001400 y 15002100;LS 08001400  A   15002100  A ;01 08 2020
NAVARRA;HUARTE          ;31620;CALLE OLAZ CHIPI SN SN;N;27 07 2020 1600;1,119;AN ENERGETICOS HUARTE;P;dm;LD 24H;LD 24H  A ;01 08 2020
BARCELONA;MOLINS DE REI      ;08750;CARRER EL PLA 3;D;01 08 2020 1053;1,119;BALLENOIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
BARCELONA;OLESA DE MONTSERRAT   ;08640;AVINGUDA FRANCESC MACIA ESQ CTRA MARTORELL ILLA 2 SN;D;27 07 2020 1208;1,119;PETRONIEVES;P;dm;LD 24H;LD 24H  A ;01 08 2020
MALAGA;CAJIZ          ;29792;AUTOVIA AUTOVIA DEL MEDITERRANEO A7 KM 264 5;D;27 07 2020 1202;1,119;GUEROIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
GIRONA;FIGUERES         ;17600;CARRER CARLES FAGES DE CLIMENT SN;D;01 08 2020 1200;1,119;EROSKI;P;dm;LS 08002200;LS 08002200  A ;01 08 2020
ZARAGOZA;CUARTE DE HUERVA     ;50410;POLIGONO VALDECONSEJO C MONTE PERDIDO 014;N;21 07 2020 1349;1,119;AVIA;P;dm;LD 24H;LD 24H  A ;01 08 2020
BARCELONA;IGUALADA         ;08700;AVENIDA PAISES CATALANES SN;N;31 07 2020 1040;1,119;CARREFOUR;P;dm;LD 24H;LD 24H  A ;01 08 2020
SEGOVIA;ESPINAR EL       ;40400;CALLE LOS LLANOS 1;I;27 07 2020 0907;1,119;CARLOS DIEZ SEGOVIA;P;dm;LD 24H;LD 24H  A ;01 08 2020
CASTELLON  CASTELLO;CASTELLON DE LA PLANA  ;12006;AVENIDA EUROPA ESQ C BELGICA 138;D;27 07 2020 1046;1,119;BDMED;P;dm;LD 24H;LD 24H  A ;01 08 2020
BARCELONA;OLESA DE MONTSERRAT   ;08640;CALLE VAPOR CREMAT DEL 13;D;27 07 2020 1209;1,119;PETRONIEVES;P;dm;LD 24H;LD 24H  A ;01 08 2020
CANTABRIA;CANDOLIAS        ;39685;CARRETERA S564 KM 39 25;D;31 07 2020 1115;1,119;AVIA;P;dm;LD 24H;LD 24H  A ;01 08 2020
BARCELONA;MONTMELO         ;08160;POLIGONO POL17 EL PEDREGAR INDUST  1;D;01 08 2020 1053;1,119;BALLENOIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
BARCELONA;VILADECANS        ;08440;AVENIDA SEGLE XXI 44;D;01 08 2020 1053;1,119;BALLENOIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
SEGOVIA;CARBONERO EL MAYOR    ;40270;AUTOVIA A601 VALLADOLIDSEGOVIA KM 90 800;I;01 08 2020 0900;1,119;AN MESENOR;P;dm;LD 24H;LD 24H  A ;01 08 2020
NAVARRA;EGUES          ;31486;CARRETERA NA150 KM 2;N;27 07 2020 1142;1,119;BRIZNA;P;dm;LD 24H;LD 24H  A ;01 08 2020
NAVARRA;CADREITA         ;31515;POLIGONO LAS NAVAS CALLE A 1;N;27 07 2020 1600;1,119;AN ENERGETICOS CADREITA;P;dm;LD 24H;LD 24H  A ;01 08 2020
BARCELONA;MANRESA         ;08240;CALLE AGUSTI COLL 18;D;24 07 2020 0937;1,119;AVIA;P;dm;LD 24H;LD 24H  A ;01 08 2020
HUELVA;PUEBLA DE GUZMAN     ;21550;AVENIDA CONSTITUCION DE LA 15;D;27 07 2020 1155;1,119;E S NTRA SRA DE LA PENA;P;dm;LS 06002200 D 07002100;LS 06002200  A  D 07002100  A ;01 08 2020
ALICANTE;SANTA POLA        ;03130;AVENIDA FINLANDIA 17;N;27 07 2020 0940;1,119;LOW COST;P;dm;LD 24H;LD 24H  A ;01 08 2020
NAVARRA;FALCES          ;31370;CARRETERA NA6210 KM 5;D;27 07 2020 1600;1,119;AN ENERGETICOS FALCES;P;dm;LD 24H;LD 24H  A ;01 08 2020
SEVILLA;PALACIOS Y VILLAFRANCA  ;41720;CALLE PROGRESO 1;D;01 08 2020 1053;1,119;BALLENOIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
ALBACETE;ALBACETE;02007;POLIGONO AVDA 3 ESQUINA C AUTOVIA 69;D;30 07 2020 0830;1,119;ENERCOM CARBURANTES;P;dm;LD 24H;LD 24H  A ;01 08 2020
BARCELONA;COLLBATO         ;08293;AVINGUDA CENTENARI AMADEU VIVES 2;N;31 07 2020 1300;1,119;ESCLATOIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
GIRONA;PUIGCERDA        ;17520;CALLE GIRONA 1;N;26 07 2020 1009;1,119;AUTOSERVEI PUIGCERDA;P;dm;LD 24H;LD 24H  A ;01 08 2020
CADIZ;SAN FERNANDO       ;11100;CALLE REMACHADORES 2;D;28 07 2020 2311;1,119;QP QUALITY PETROLEUM;P;dm;LD 24H;LD 24H  A ;01 08 2020
SEGOVIA;NAVALMANZANO       ;40280;AUTOVIA A601 KM 75 9;D;27 07 2020 1006;1,119;NAVATRANS;P;dm;LD 24H;LD 24H  A ;01 08 2020
GIRONA;BLANES          ;17300;CARRETERA GI600 KM 1;D;27 07 2020 1053;1,119;PETROLOWCOST;P;dm;LD 24H;LD 24H  A ;01 08 2020
BARCELONA;OLESA DE MONTSERRAT   ;08640;CALLE JACINT VERDAGUER 35;N;31 07 2020 1300;1,119;ESCLATOIL;N;dm;LD 24H;LD 24H  A ;01 08 2020
MALAGA;ANTEQUERA        ;29200;CALLE ACLARADORES LOS 10;D;27 07 2020 1104;1,119;GACOSUR ANTEQUERA;P;dm;LD 24H;LV 00000700  D   07002100  P   21002359  D  SD 00000800  D   08001600  P   16002359  D ;01 08 2020
SEVILLA;MARCHENA         ;41620;TRAVESIA SAN IGNACIO 1;D;27 07 2020 1107;1,119;PETROBIKE;P;dm;LD 24H;LS 00000800  D   08002130  A   21302359  D  D 24H  D ;01 08 2020
ARABA ALAVA;VITORIAGASTEIZ     ;01007;CALLE ALTO DE ARMENTIA 10;D;31 07 2020 1245;1,119;ARMENTIA;P;dm;LD 24H;LD 24H  A ;01 08 2020
BADAJOZ;DON BENITO        ;06400;CALLE LEONARDO DA VINCI 28;N;31 07 2020 1400;1,119;SHELL;P;OM;LD 24H;LD 24H  D ;01 08 2020
MALAGA;TRAPICHE         ;29719;POLIGONO INDUSTRIAL EL TRAPICHE SN;D;27 07 2020 1903;1,119;TROPS;P;dm;LD 07002100;LD 07002100  A ;01 08 2020
LEON;ASTORGA         ;24700;AVENIDA MADRID CORUNA 394;D;27 07 2020 0935;1,119;PETROAS;P;dm;LV 07002300 SD 08002300;LV 07002300  A  SD 08002300  A ;01 08 2020
CADIZ;VILLAMARTIN       ;11650;AVENIDA ARCOS 55;D;28 07 2020 1057;1,119;HEMEGAS;P;dm;LD 24H;LD 24H  A ;01 08 2020
JAEN;UBEDA          ;23400;CALLE CARRETERA DE VILCHES 107;I;28 07 2020 1021;1,119;DIESELPRIX;P;dm;LD 24H;LV 00000900  D   09001400  A   14001700  D   17002100  A   21002359  D  S 00000900  D   09001400  A   14002359  D  D 24H  D ;01 08 2020
ASTURIAS;GIJON          ;33211;AVENIDA ROCES N;N;01 08 2020 1053;1,119;BALLENOIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
BURGOS;VILLAGONZALO PEDERNALES ;09195;CARRETERA MADRID IRUN KM 243;D;27 07 2020 1122;1,119;BEROIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
CORDOBA;PENARROYAPUEBLONUEVO  ;14200;POLIGONO EL ANTOLIN SN;N;28 07 2020 0913;1,119;SECSA;P;dm;LD 24H;LD 24H  A ;01 08 2020
JAEN;SILES          ;23380;CALLE CARRETERA DE LA PUERTA 28;I;27 07 2020 1102;1,119;NO;R;dm;LD 07002200;LD 07002200  A ;01 08 2020
CIUDAD REAL;CIUDAD REAL       ;13005;CALLE TORRENUEVA 1;D;31 07 2020 1132;1,119;BURAN ENERGY;P;dm;LV 06002200 SD 08002200;LV 06002200  A  SD 08002200  A ;01 08 2020
BURGOS;MIRANDA DE EBRO     ;09200;POLIGONO P INDUSTRIAL BAYAS 146 PARCELAS 58 146;D;27 07 2020 1155;1,119;BEROIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
SEVILLA;MARCHENA         ;41620;CALLE CAMINO HONDO 62;D;27 07 2020 1732;1,119;AUTOLAVADOS;P;dm;LS 06002200 D 08002200;LS 06002200  A  D 08002200  A ;01 08 2020
PALENCIA;CARRION DE LOS CONDES  ;34120;AVENIDA MANUELA RIZO SN;D;27 07 2020 1630;1,119;CARAN ENERGETICOS;P;dm;LD 24H;LD 24H  A ;01 08 2020
LUGO;CASTROVERDE       ;27120;POLIGONO INDUSTRIAL DE CASTROVERDE 20;N;27 07 2020 1128;1,119;ARIOSA;P;dm;LS 09002100 D 10002000;LS 09002100  A  D 10002000  A ;01 08 2020
HUELVA;CARTAYA         ;21450;POLIGONO INDUSTRIAL LA ESTACION 87;D;01 08 2020 1053;1,119;BALLENOIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
MADRID;BASE AEREA        ;28850;CARRETERA DE LA BASE KM SN;N;01 08 2020 0814;1,119;LAVAPLUS;P;dm;LD 24H;LD 24H  A ;01 08 2020
LUGO;ROCHELA A        ;27795;CARRETERA N634 KM 563;N;27 07 2020 0934;1,119;MERCARURAL;P;dm;L 07002200;L 07002200  A ;01 08 2020
VALENCIA;TAVERNES DE LA VALLDIGNA ;46760;CALLE COSTERA DE LA 19;N;31 07 2020 0245;1,119;GALP;P;OM;LD 24H;LD 24H  A ;01 08 2020
HUELVA;TERRON EL        ;21449;BARRIO PUERTO TERRON SN;N;27 07 2020 1426;1,119;E S MARINA SUR ;P;dm;LD 24H;L 00000700  D   07002200  P   22002359  D  MX 00001000  D   10001800  P   18002359  D  JD 00000700  D   07002200  P   22002359  D ;01 08 2020
ALICANTE;CALPE          ;03710;AVENIDA DIPUTACION 35;D;27 07 2020 1308;1,119;GASEXPRESS;P;dm;LD 24H;LD 24H  A ;01 08 2020
ALICANTE;BENISSA         ;03720;CARRETERA MORAIRACALPE KM 3;D;27 07 2020 1307;1,119;GASEXPRESS;P;dm;LD 24H;LD 24H  A ;01 08 2020
CADIZ;BORNOS          ;11640;POLIGONO CANTARRANAS IND 1;D;28 07 2020 1058;1,119;E S NTRA SRA DEL ROSARIO;P;dm;LD 24H;LD 24H  A ;01 08 2020
ALICANTE;VILLENA         ;03400;PARTIDA PRADO DE LA VILLA 106;D;22 07 2020 2328;1,119;JBM;P;dm;LD 06002200;LD 06002200  A ;01 08 2020
BADAJOZ;MERIDA          ;06800;AVENIDA FELIPE VI SN;D;01 08 2020 0132;1,119;PETROGOLD;P;dm;LD 24H;LD 24H  A ;01 08 2020
BADAJOZ;MERIDA          ;06800;CALLE PAPA JUAN XXI SN;I;27 07 2020 1923;1,119;MAGNA OIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
CUENCA;VILLANUEVA DE LA JARA  ;16230;CARRETERA N310 KM 197;D;27 07 2020 1502;1,119;E S D VILLANUEVA DE LA JARA;P;dm;LD 24H;LD 24H  A ;01 08 2020
MADRID;TORREJON DE ARDOZ    ;28850;POLIGONO CASABLANCA C JACINTO BENAVENTE 6;N;31 07 2020 1330;1,119;SHELL;P;OM;LD 24H;LD 24H  D ;01 08 2020
JAEN;TORREDONJIMENO      ;23650;AVENIDA JAEN 67;D;27 07 2020 1126;1,119;MAXOIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
PALENCIA;PALENCIA         ;34001;AVENIDA CUBA 27;D;27 07 2020 1314;1,119;GASEXPRESS;P;dm;LV 06000000 SD 07002300;LV 06000000  A  SD 07002300  A ;01 08 2020
CASTELLON  CASTELLO;CASTELLON DE LA PLANA  ;12006;CALLE CUADRA LAIRON 57;D;27 07 2020 1239;1,119;TOP PETROLEUM;P;dm;LD 24H;LD 24H  A ;01 08 2020
VALENCIA;TAVERNES DE LA VALLDIGNA ;46760;CARRETERA CV50 N 3 KM 3;N;27 07 2020 1246;1,119;PETROENERGY;P;dm;LD 24H;LD 24H  A ;01 08 2020
ZARAGOZA;CUARTE DE HUERVA     ;50410;CALLE FONTANA DE TREVI 247;D;28 07 2020 2130;1,119;MONTE ALUMA;P;dm;LD 24H;LD 24H  A ;01 08 2020
MADRID;NIEVES LAS       ;28935;AVENIDA DE LAS NIEVES 5;N;27 07 2020 1106;1,119;OLANCA;P;dm;LD 24H;LD 24H  A ;01 08 2020
BURGOS;ARANDA DE DUERO     ;09400;CARRETERA NACIONAL I KM 160 3;D;27 07 2020 1148;1,119;BEROIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
VALENCIA;GODELLA         ;46110;AVENIDA ESCULTOR ANDRE ALFARO 2;D;27 07 2020 0912;1,119;V C ;P;dm;LD 24H;LD 24H  A ;01 08 2020
AVILA;AVILA          ;05004;CALLE RIO PISUERGA 21;N;23 07 2020 1210;1,119;DST POL HERVENCIAS;A;dm;LV 07002100 S 09001500;LV 07002100  A  S 09001500  A ;01 08 2020
CADIZ;OLVERA          ;11690;CALLE LAVANDERA 2;D;28 07 2020 1058;1,119;HEMEGAS;P;dm;LD 24H;LD 24H  A ;01 08 2020
MADRID;SAN SEBASTIAN DE LOS REYES;28700;AVENIDA TENERIFE 10;D;01 08 2020 1053;1,119;BALLENOIL;P;dm;LD 24H;LD 24H  A ;01 08 2020
SEGOVIA;CUELLAR         ;40200;CARRETERA VALLADOLID SN FINCA 16114 KM 148;D;29 07 2020 1145;1,119;EL SURTIDOR;P;dm;LD 24H;LD 24H  A ;01 08 2020
